Depto;Departamento;Fam;Familia;anioretail;mesretail;ventasnetas;costos;Utilidad;% Margen
1;Juguetes;333;Peluches;2013;11;127738;-69011;58727;0.46
1;Juguetes;340;Eléctronicos y P/TV;2013;1;36;-652;-617;-17.27
1;Juguetes;340;Eléctronicos y P/TV;2013;8;326;-326;0;0.0
1;Juguetes;899;Escolar;2013;2;1427;-829;598;0.42
1;Juguetes;899;Escolar;2013;5;2838;-1598;1241;0.44
1;Juguetes;899;Escolar;2013;8;6654;-20990;-14336;-2.15
1;Juguetes;900;Barbie;2013;2;216510;-153549;62961;0.29
1;Juguetes;900;Barbie;2013;9;509400;-302751;206649;0.41
1;Juguetes;900;Barbie;2013;12;4294488;-2660689;1633799;0.38
1;Juguetes;901;Belleza Niñas;2013;1;40275;-16661;23614;0.59
1;Juguetes;901;Belleza Niñas;2013;4;48088;-21453;26634;0.55
1;Juguetes;901;Belleza Niñas;2013;8;64884;-42289;22595;0.35
1;Juguetes;901;Belleza Niñas;2013;11;85118;-47662;37456;0.44
1;Juguetes;902;Hogar Niñas;2013;3;72313;-30067;42246;0.58
1;Juguetes;902;Hogar Niñas;2013;6;83772;-36886;46886;0.56
1;Juguetes;903;Muñecas;2013;3;251426;-129502;121924;0.48
1;Juguetes;903;Muñecas;2013;10;630707;-313783;316924;0.5
1;Juguetes;904;Lanzadores;2013;5;78351;-42294;36057;0.46
1;Juguetes;904;Lanzadores;2013;8;111317;-64242;47075;0.42
1;Juguetes;904;Lanzadores;2013;11;168345;-99875;68469;0.41
1;Juguetes;905;Deportes;2013;2;121903;-60004;61898;0.51
1;Juguetes;905;Deportes;2013;9;169338;-105899;63438;0.37
1;Juguetes;905;Deportes;2013;12;1330767;-673055;657712;0.49
1;Juguetes;906;Figuras de Acción;2013;2;220960;-129227;91733;0.42
1;Juguetes;906;Figuras de Acción;2013;9;735898;-453757;282141;0.38
1;Juguetes;906;Figuras de Acción;2013;12;3366262;-2001516;1364746;0.41
1;Juguetes;907;Hobbies;2013;3;34708;-18560;16148;0.47
1;Juguetes;907;Hobbies;2013;6;61805;-34259;27546;0.45
1;Juguetes;907;Hobbies;2013;9;78440;-53523;24917;0.32
1;Juguetes;908;Educativo;2013;1;27027;-13376;13651;0.51
1;Juguetes;908;Educativo;2013;4;41068;-22363;18705;0.46
1;Juguetes;908;Educativo;2013;7;41267;-22538;18729;0.45
1;Juguetes;908;Educativo;2013;10;50205;-28700;21505;0.43
1;Juguetes;909;Pistas;2013;4;86930;-60198;26731;0.31
1;Juguetes;333;Peluches;2013;3;84582;-47597;36985;0.44
1;Juguetes;333;Peluches;2013;6;99545;-46115;53430;0.54
1;Juguetes;333;Peluches;2013;9;135398;-78543;56855;0.42
1;Juguetes;333;Peluches;2013;12;519876;-258405;261470;0.5
1;Juguetes;899;Escolar;2013;7;996;-600;396;0.4
1;Juguetes;899;Escolar;2013;10;1160;-886;274;0.24
1;Juguetes;900;Barbie;2013;4;349614;-243242;106371;0.3
